country,x,y
South Africa,23,-257
Nigeria,-90,57
Ethopia,148,49
Lesotho,68,-240
Eswatini,91,-216
Egypt,77,191
DR Congo,36,-45
Tanzania,130,-66
Kenya,143,-11
Sudan,68,103
Uganda,104,-1
Algeria,-119,198
Morocco,-190,247
Angola,-19,-106
Mozambique,120,-152
Ghana,-152,44
Madagascar,208,-160
Ivory coast,-183,41
Cameroon,-50,24
Mali,-163,121
Burkina Faso,-156,82
Malawi,113,-113
Zambia,55,-118
Chad,-4,105
Somalia,224,61
Senegal,-254,99
Zimbabwe,75,-157
Guinea,-221,70
Benin,-127,67
Rwanda,84,-25
Burundi,80,-37
Tunisia,-74,270
South Sudan,87,40
Togo,-137,48
Sierra Leone,-234,48
Central African Republic,16,40
Mauritania,-218,133
Eritrea,144,112
Namibia,-17,-181
Gambia,-267,92
Gabon,-59,-13
Botswana,34,-176
Guinea-Bissau,-254,81
Mauritius,253,-176
Djibouti,175,78
Comoros,184,-95
cape verde,-317,105
sao tome,-97,-6
Seychelles,293,-48
liberia,-215,36
Libya,-12,206
Niger,-69,121
Equatorial Guinea,-68,1
Republic of congo,-27,-19
